Feature
1,ENSMUSG00000015966
2,ENSMUSG00000069855
3,ENSMUSG00000019856
4,ENSMUSG00000042499
5,ENSMUSG00000054967
6,ENSMUSG00000059741
7,ENSMUSG00000037428
8,ENSMUSG00000053181
9,ENSMUSG00000028072
10,ENSMUSG00000037977
11,ENSMUSG00000071226
12,ENSMUSG00000057836
13,ENSMUSG00000017386
14,ENSMUSG00000011008
15,ENSMUSG00000038765
16,ENSMUSG00000030789
17,ENSMUSG00000015627
18,ENSMUSG00000056758
19,ENSMUSG00000043153
20,ENSMUSG00000044526
21,ENSMUSG00000000440
22,ENSMUSG00000017204
23,ENSMUSG00000028445
24,ENSMUSG00000020099
25,ENSMUSG00000028033
26,ENSMUSG00000027297
27,ENSMUSG00000073705
28,ENSMUSG00000052572
29,ENSMUSG00000031918
30,ENSMUSG00000028019
31,ENSMUSG00000040877
32,ENSMUSG00000055760
33,ENSMUSG00000068134
34,ENSMUSG00000072568
35,ENSMUSG00000044317
36,ENSMUSG00000092192
37,ENSMUSG00000033488
38,ENSMUSG00000019214
39,ENSMUSG00000041064
40,ENSMUSG00000062132
41,ENSMUSG00000024036
42,ENSMUSG00000038195
43,ENSMUSG00000023943
44,ENSMUSG00000025226
45,ENSMUSG00000074342
46,ENSMUSG00000033486
47,ENSMUSG00000020528
48,ENSMUSG00000005362
49,ENSMUSG00000027956
50,ENSMUSG00000003208
51,ENSMUSG00000029516
52,ENSMUSG00000025937
53,ENSMUSG00000059401
54,ENSMUSG00000026683
55,ENSMUSG00000063146
56,ENSMUSG00000073910
57,ENSMUSG00000057895
58,ENSMUSG00000028188
59,ENSMUSG00000031289
60,ENSMUSG00000004221
61,ENSMUSG00000037029
62,ENSMUSG00000061517
63,ENSMUSG00000021552
64,ENSMUSG00000037341
65,ENSMUSG00000039470
66,ENSMUSG00000032558
67,ENSMUSG00000037469
68,ENSMUSG00000024352
69,ENSMUSG00000039699
70,ENSMUSG00000037010
71,ENSMUSG00000028738
72,ENSMUSG00000097075
73,ENSMUSG00000035476
74,ENSMUSG00000037709
75,ENSMUSG00000049999
76,ENSMUSG00000052395
77,ENSMUSG00000025782
78,ENSMUSG00000020186
79,ENSMUSG00000028933
80,ENSMUSG00000073435
81,ENSMUSG00000053593
82,ENSMUSG00000038205
83,ENSMUSG00000067377
84,ENSMUSG00000007594
85,ENSMUSG00000029851
86,ENSMUSG00000042724
87,ENSMUSG00000038692
88,ENSMUSG00000056973
89,ENSMUSG00000017376
90,ENSMUSG00000054737
91,ENSMUSG00000025195
92,ENSMUSG00000050503
93,ENSMUSG00000050627
94,ENSMUSG00000021569
95,ENSMUSG00000041679
96,ENSMUSG00000089687
97,ENSMUSG00000021418
98,ENSMUSG00000002324
99,ENSMUSG00000014932
100,ENSMUSG00000029456
101,ENSMUSG00000045761
