Feature,Normalized.Dispersion
ENSMUSG00000051951,-1.2353540438682427
ENSMUSG00000025900,0.479137003134756
ENSMUSG00000025902,-1.123335585381192
ENSMUSG00000025903,-0.05976216779414724
ENSMUSG00000033813,-1.933725710974331
ENSMUSG00000002459,-1.7367909329988007
ENSMUSG00000033793,-0.7564645135501941
ENSMUSG00000025905,-0.5050362079925028
ENSMUSG00000033774,-1.8501226226448855
ENSMUSG00000025907,-1.0955357985011986
ENSMUSG00000033740,0.5485192188510029
ENSMUSG00000051285,0.8550486281217355
ENSMUSG00000025909,2.0411737445514966
ENSMUSG00000061024,-1.404536737220635
ENSMUSG00000025911,-0.9184068107749183
ENSMUSG00000067879,0.04769108563763029
ENSMUSG00000025912,1.5488453430856879
ENSMUSG00000045210,1.0150665145524163
ENSMUSG00000025915,8.310938399012894
ENSMUSG00000046101,0.38987403248281466
ENSMUSG00000099032,0.43461754467929464
ENSMUSG00000025916,1.5403459623381974
ENSMUSG00000025917,-1.3871256315368707
ENSMUSG00000056763,1.198365509799259
ENSMUSG00000067851,1.0180139451779875
ENSMUSG00000042501,-0.5627028195734897
ENSMUSG00000048960,-1.4242604991438572
ENSMUSG00000057715,0.631441020224158
ENSMUSG00000016918,1.9937457403468177
ENSMUSG00000025938,0.5262764482955805
ENSMUSG00000042414,1.0838698696035225
ENSMUSG00000005886,0.8999311822295939
ENSMUSG00000025935,-1.5249303944947719
ENSMUSG00000025937,-2.1612239982988606
ENSMUSG00000025932,2.8553740832758536
ENSMUSG00000025930,1.129001536244562
ENSMUSG00000032769,-0.6874921200784566
ENSMUSG00000092083,0.8892552830608372
ENSMUSG00000025925,-0.9097487725560808
ENSMUSG00000032719,-0.7314470173492238
ENSMUSG00000067795,-1.9769735369522148
ENSMUSG00000025921,2.1328786756727762
ENSMUSG00000025920,0.5122294010818357
ENSMUSG00000025939,1.347638017878677
ENSMUSG00000025940,0.21365775309159413
ENSMUSG00000025779,0.4382446422539478
ENSMUSG00000042686,-0.8449187237764177
ENSMUSG00000025777,0.8929000358914013
ENSMUSG00000067780,2.006919208701851
ENSMUSG00000025776,NaN
