Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value
ENSMUSG00000051951,Xkr4,0.00865279862557409,-2.756561623154969,0.00005154595409278246,0.06050637784998698,2.756561623154969,0.00005154595409278246
ENSMUSG00000025900,Rp1,0.00865279862557409,-3.004489136598555,0.000001747928664557956,0.07221728969191994,3.004489136598555,0.000001747928664557956
ENSMUSG00000025902,Sox17,0.11652435482439774,1.9087742940302075,0.000005492333206060815,0.02927727960483241,-1.9087742940302075,0.000005492333206060815
ENSMUSG00000025903,Lypla1,0.5059002929752318,0.8316909475003714,0.001580984816303467,0.2830137028467133,-0.8316909475003714,0.001580984816303467
ENSMUSG00000033813,Tcea1,0.7360647364155026,0.342812666085593,0.1929533476896503,0.5796901361756817,-0.342812666085593,0.1929533476896503
ENSMUSG00000002459,Rgs20,0.07960574735528163,0.11445193612495252,0.8899252743890721,0.07221728969191994,-0.11445193612495252,0.8899252743890721
ENSMUSG00000033793,Atp6v1h,0.43783161045404895,0.9184762218680349,0.0006913768258732996,0.23031459955801495,-0.9184762218680349,0.0006913768258732996
ENSMUSG00000025905,Oprk1,0.005768532417049393,-2.2040206001261904,0.009208291702104684,0.02732546096451025,2.2040206001261904,0.009208291702104684
ENSMUSG00000033774,Npbwr1,0.021343569943082754,-0.5086341097113829,0.42091219620159165,0.02927727960483241,0.5086341097113829,0.42091219620159165
ENSMUSG00000025907,Rb1cc1,0.2688136106345017,0.5715583054466613,0.047658882777672724,0.17956731490963876,-0.5715583054466613,0.047658882777672724
ENSMUSG00000033740,St18,0.006922238900459272,-3.378049999901239,0.0000000424669953647183,0.07612092697256426,3.378049999901239,0.0000000424669953647183
ENSMUSG00000051285,Pcmtd1,0.34841935798978335,0.15331283089237058,0.6377404807978354,0.3122909824515457,-0.15331283089237058,0.6377404807978354
ENSMUSG00000025909,Sntg1,0.001730559725114818,-4.341524123876126,0.00000019654490962391007,0.04489182872740969,4.341524123876126,0.00000019654490962391007
ENSMUSG00000061024,Rrs1,0.218627378606172,0.9804039710112367,0.0014961930932091863,0.109301843858041,-0.9804039710112367,0.0014961930932091863
ENSMUSG00000025911,Adhfe1,0.03403434126059142,0.243438376845031,0.7162320605059022,0.02732546096451025,-0.243438376845031,0.7162320605059022
ENSMUSG00000067879,Vxn,0.005191679175344454,-3.563916545212573,0.000000023061020812059857,0.06636183377095346,3.563916545212573,0.000000023061020812059857
ENSMUSG00000025912,Mybl1,0.03288063477718154,-1.5990203461684898,0.0004568785151025662,0.09954275065643019,1.5990203461684898,0.0004568785151025662
ENSMUSG00000045210,Vcpip1,0.30746277782873266,-0.5846089403656747,0.02219655373308772,0.4606291991160299,0.5846089403656747,0.02219655373308772
ENSMUSG00000025915,Sgk3,0.3380359996390944,-0.40483498098929216,0.10221656322871714,0.44696646863377476,0.40483498098929216,0.10221656322871714
ENSMUSG00000046101,Mcmdc2,0.021920423184787693,-2.57968386107089,0.0000000012949512700994923,0.13272366754190693,2.57968386107089,0.0000000012949512700994923
ENSMUSG00000099032,Tcf24,0.006922238900459272,-2.2260469064561894,0.003992094151912808,0.03318091688547673,2.2260469064561894,0.003992094151912808
ENSMUSG00000025916,Ppp1r42,0.010960211592393847,-2.7921855328856906,0.0000005551615874587676,0.07807274561288642,2.7921855328856906,0.0000005551615874587676
ENSMUSG00000025917,Cops5,0.9616143539221339,1.0225294466839134,0.000043229278541775584,0.47234011095796286,-1.0225294466839134,0.000043229278541775584
ENSMUSG00000056763,Cspp1,0.33457488018886483,-0.4629105186486997,0.058681958896453425,0.4606291991160299,0.4629105186486997,0.058681958896453425
ENSMUSG00000067851,Arfgef1,0.7291424975150433,0.46089720517636357,0.07061266855771976,0.5289428515273055,-0.46089720517636357,0.07061266855771976
ENSMUSG00000042501,Cpa6,0.005768532417049393,-3.4264130214626385,0.00000014001326207761598,0.06636183377095346,3.4264130214626385,0.00000014001326207761598
ENSMUSG00000048960,Prex2,0.16959485306125216,2.747569802953142,0.000000000036417579609910626,0.023421823683865927,-2.747569802953142,0.000000000036417579609910626
ENSMUSG00000057715,A830018L16Rik,0.005191679175344454,-3.341524123876125,0.0000011718381856939356,0.056602740569342655,3.341524123876125,0.0000011718381856939356
ENSMUSG00000016918,Sulf1,0.3524573306817179,0.5235462960377664,0.05838756942467784,0.24397733004027006,-0.5235462960377664,0.05838756942467784
ENSMUSG00000025938,Slco5a1,0.09748819784813474,0.367427094120484,0.37945597441172907,0.0741691083322421,-0.367427094120484,0.37945597441172907
ENSMUSG00000042414,Prdm14,0.0023074129668197575,-3.241988450325212,0.00039139865934088045,0.025373642324188088,3.241988450325212,0.00039139865934088045
ENSMUSG00000005886,Ncoa2,0.22208849805640163,0.4783434094950274,0.11760306459773581,0.158097309866095,-0.4783434094950274,0.11760306459773581
ENSMUSG00000025935,Tram1,1.4248275070112002,0.14581121066612363,0.6057219826682947,1.288200302612626,-0.14581121066612363,0.6057219826682947
ENSMUSG00000025937,Lactb2,0.05076308527003466,0.1956098517544156,0.6887538285472005,0.04294001008708753,-0.1956098517544156,0.6887538285472005
ENSMUSG00000067813,Xkr9,0.008075945383869151,-1.9371338687967903,0.005358691896382131,0.03122909824515457,1.9371338687967903,0.005358691896382131
ENSMUSG00000025932,Eya1,0.06691497603777297,0.11380309642843578,0.8678021583989942,0.06050637784998698,-0.11380309642843578,0.8678021583989942
ENSMUSG00000025930,Msc,0.0074990921421642116,-2.271134795984727,0.0010968488448475026,0.03708455416612105,2.271134795984727,0.0010968488448475026
ENSMUSG00000032769,Trpa1,0.005768532417049393,-3.3415241238761255,0.000002721605534570147,0.06245819649030914,3.3415241238761255,0.000002721605534570147
ENSMUSG00000092083,Kcnb2,0.0028842662085246966,-3.75656162315497,0.0000012955511582085162,0.04489182872740969,3.75656162315497,0.0000012955511582085162
ENSMUSG00000025925,Terf1,0.12460030020826689,0.09809901368099139,0.8492486952685199,0.11515729977900747,-0.09809901368099139,0.8492486952685199
