Feature ID,Feature Name,Feature Type,I,P value,Adjusted p value,Feature Counts in Spots Under Tissue,Median Normalized Average Counts,Barcodes Detected per Feature
ENSMUSG00000040152,Thbs1,Gene Expression,0.7941795788934908,0.0,0.0,42413,23.273718284697942,1854
ENSMUSG00000019987,Arg1,Gene Expression,0.786595835595995,0.0,0.0,51191,27.960206064227357,1794
ENSMUSG00000031972,Acta1,Gene Expression,0.7807250271981477,0.0,0.0,120503,42.76906999546815,1772
ENSMUSG00000032060,Cryab,Gene Expression,0.7681734215190583,0.0,0.0,63880,21.710929745712363,1655
ENSMUSG00000026981,Il1rn,Gene Expression,0.7564107999952785,0.0,0.0,34736,19.148205984888786,1822
ENSMUSG00000026208,Des,Gene Expression,0.7538602058987834,0.0,0.0,54662,19.14290513178918,1640
ENSMUSG00000017300,Tnnc2,Gene Expression,0.7501592404367189,0.0,0.0,47122,16.8791191777908,1584
ENSMUSG00000036854,Hspb6,Gene Expression,0.7500839312736745,0.0,0.0,24744,8.881795151450495,1421
ENSMUSG00000053522,Lgals7,Gene Expression,0.7488431811721004,0.0,0.0,55791,21.023600387609694,1682
ENSMUSG00000061816,Myl1,Gene Expression,0.7476870716462125,0.0,0.0,14045,4.9626246572253425,1204
ENSMUSG00000020077,Srgn,Gene Expression,0.7464782734787508,0.0,0.0,26322,13.612806625478656,1777
ENSMUSG00000029661,Col1a2,Gene Expression,0.7385821567157191,0.0,0.0,45296,19.03431606844027,1678
ENSMUSG00000061723,Tnnt3,Gene Expression,0.737522129418068,0.0,0.0,50950,18.22722589338492,1647
ENSMUSG00000017737,Mmp9,Gene Expression,0.7369299784282074,0.0,0.0,21967,12.742215544629616,1693
ENSMUSG00000056501,Cebpb,Gene Expression,0.7364516975131421,0.0,0.0,46242,24.43796130901616,1880
ENSMUSG00000027559,Car3,Gene Expression,0.7308090988291229,0.0,0.0,28760,9.85176711427052,1430
ENSMUSG00000056071,S100a9,Gene Expression,0.7306167196215435,0.0,0.0,57408,28.277609651041292,1867
ENSMUSG00000030189,Ybx3,Gene Expression,0.7278662790571608,0.0,0.0,17203,6.370449326714395,1530
ENSMUSG00000039753,Fbxl5,Gene Expression,0.7254848425062741,0.0,0.0,27123,16.13747628635901,1842
ENSMUSG00000030730,Atp2a1,Gene Expression,0.7185660988727448,0.0,0.0,26591,9.390680904324233,1420
ENSMUSG00000057003,Myh4,Gene Expression,0.7161362770579642,0.0,0.0,30245,10.869625534533933,1526
ENSMUSG00000015950,Ncf1,Gene Expression,0.7142049384515623,0.0,0.0,17085,10.404846379074254,1697
ENSMUSG00000031765,Mt1,Gene Expression,0.7120812461501743,0.0,0.0,96777,36.816786172306514,1830
ENSMUSG00000030470,Csrp3,Gene Expression,0.7108534794714354,0.0,0.0,21506,7.643414941225927,1366
ENSMUSG00000006221,Hspb7,Gene Expression,0.7108492630766475,0.0,0.0,23571,8.183813053949326,1427
ENSMUSG00000031633,Slc25a4,Gene Expression,0.7087394835762638,0.0,0.0,16318,5.884298328424043,1488
ENSMUSG00000030399,Ckm,Gene Expression,0.7085400553168846,0.0,0.0,30621,11.291885041079162,1527
ENSMUSG00000060600,Eno3,Gene Expression,0.7057953657335518,0.0,0.0,15012,5.305520270342412,1322
ENSMUSG00000029304,Spp1,Gene Expression,0.703478267360162,0.0,0.0,19044,10.078245584356203,1652
ENSMUSG00000051747,Ttn,Gene Expression,0.7025525384268937,0.0,0.0,27192,9.868443333753493,1530
ENSMUSG00000030672,Mylpf,Gene Expression,0.6999072938936434,0.0,0.0,22305,8.021672828294802,1430
ENSMUSG00000056328,Myh1,Gene Expression,0.6990434943752986,0.0,0.0,19761,7.521581360266767,1391
ENSMUSG00000032366,Tpm1,Gene Expression,0.6975917646757073,0.0,0.0,23989,8.624924436828577,1543
ENSMUSG00000020372,Rack1,Gene Expression,0.6960109142655116,0.0,0.0,37402,14.120185807535616,1736
ENSMUSG00000045545,Krt14,Gene Expression,0.6947307690354356,0.0,0.0,53028,19.137010637819138,1699
ENSMUSG00000031097,Tnni2,Gene Expression,0.6940349149196111,0.0,0.0,8361,3.073295468641184,1113
ENSMUSG00000036256,Igfbp7,Gene Expression,0.6915541945439663,0.0,0.0,11697,4.516951452304823,1406
ENSMUSG00000017002,Slpi,Gene Expression,0.6835669289244407,0.0,0.0,17327,9.230196322319028,1713
ENSMUSG00000028464,Tpm2,Gene Expression,0.68299068798872,0.0,0.0,27470,10.013271166968748,1599
ENSMUSG00000009281,Rarres2,Gene Expression,0.6821070354369297,0.0,0.0,12531,5.120733425669279,1426
ENSMUSG00000023092,Fhl1,Gene Expression,0.6796403167920009,0.0,0.0,10790,3.8977754045373496,1249
ENSMUSG00000045763,Basp1,Gene Expression,0.6775014374030544,0.0,0.0,13926,8.011254524370003,1684
ENSMUSG00000030785,Cox6a2,Gene Expression,0.6757076827058807,0.0,0.0,7266,2.5195784619819923,1049
ENSMUSG00000052374,Actn2,Gene Expression,0.6750390312883221,0.0,0.0,12985,4.653425305161928,1220
ENSMUSG00000061527,Krt5,Gene Expression,0.6686904904517734,0.0,0.0,26891,10.238396280966935,1577
ENSMUSG00000001506,Col1a1,Gene Expression,0.6677269558914598,0.0,0.0,47481,19.24298356029177,1722
ENSMUSG00000026043,Col3a1,Gene Expression,0.6642247480824249,0.0,0.0,88505,34.48745979810905,1794
ENSMUSG00000056054,S100a8,Gene Expression,0.6635532879407795,0.0,0.0,28766,14.304659107725717,1827
ENSMUSG00000027398,Il1b,Gene Expression,0.6592268682906951,0.0,0.0,13223,6.974401900373331,1569
ENSMUSG00000020475,Pgam2,Gene Expression,0.6552201584776937,0.0,0.0,6491,2.2970366297457727,1013
ENSMUSG00000038612,Mcl1,Gene Expression,0.6540829602410393,0.0,0.0,22371,11.681140435219335,1845
ENSMUSG00000068699,Flnc,Gene Expression,0.6517069706743527,0.0,0.0,7360,2.5930210127948996,1092
ENSMUSG00000005716,Pvalb,Gene Expression,0.6501976485165165,0.0,0.0,10452,3.740706210820126,1146
ENSMUSG00000007097,Atp1a2,Gene Expression,0.6484843653395127,0.0,0.0,6005,2.1319460098150635,1050
ENSMUSG00000018593,Sparc,Gene Expression,0.6417988622868924,0.0,0.0,14441,5.496569277535361,1512
ENSMUSG00000038670,Mybpc2,Gene Expression,0.6384262245900006,0.0,0.0,6218,2.2519603664876913,998
ENSMUSG00000021091,Serpina3n,Gene Expression,0.6383631330478948,0.0,0.0,7503,3.023311507832256,1298
ENSMUSG00000022108,Itm2b,Gene Expression,0.6360132853036854,0.0,0.0,34729,13.870759758080744,1741
ENSMUSG00000027408,Cpxm1,Gene Expression,0.6342145908845203,0.0,0.0,8382,3.5134095740022033,1318
ENSMUSG00000002985,Apoe,Gene Expression,0.634053835191782,0.0,0.0,15691,5.7196552078706855,1520
ENSMUSG00000041571,Selenow,Gene Expression,0.6335261491469731,0.0,0.0,13158,4.934552508376186,1542
ENSMUSG00000031451,Gas6,Gene Expression,0.6332407585520846,0.0,0.0,6324,2.5705279455788532,1288
ENSMUSG00000004951,Hspb1,Gene Expression,0.6317135344675623,0.0,0.0,8718,3.195301348984924,1292
ENSMUSG00000029379,Cxcl3,Gene Expression,0.6273516934186415,0.0,0.0,8108,4.667425058706463,1415
ENSMUSG00000026193,Fn1,Gene Expression,0.626986500377736,0.0,0.0,17522,9.195753689807566,1707
ENSMUSG00000032648,Pygm,Gene Expression,0.6249899685872212,0.0,0.0,6956,2.5194254551212967,1077
ENSMUSG00000043165,Lor,Gene Expression,0.6243644029379091,0.0,0.0,12253,4.897371765177201,1435
ENSMUSG00000019761,Krt10,Gene Expression,0.6219952588112605,0.0,0.0,33074,12.76774185549346,1711
ENSMUSG00000030592,Ryr1,Gene Expression,0.6206608441235398,0.0,0.0,4030,1.4582879067112418,899
