FeatureID,FeatureName,Cluster 1 Average,Cluster 1 Log2 Fold Change,Cluster 1 P-Value,Cluster 2 Average,Cluster 2 Log2 Fold Change,Cluster 2 P-Value,Cluster 3 Average,Cluster 3 Log2 Fold Change,Cluster 3 P-Value,Cluster 4 Average,Cluster 4 Log2 Fold Change,Cluster 4 P-Value
ENSMUSG00000026822,Lcn2,10.686083749427606,1.2303652554165723,5.603418507487291e-06,5.4585281023310035,-0.190632972979917,0.8717733769173133,5.6140327142046855,-0.18461078328165703,0.8450867297701109,2.930421909696518,-1.3413435976565364,3.7773753042007725e-06
ENSMUSG00000015312,Gadd45b,3.3882704571355826,1.3970037137574693,6.195727235920108e-06,1.8488562927250174,0.019057537071388242,0.8865393430298509,1.5393955428349244,-0.3601836984572,0.664981735304242,0.7996575041714227,-1.4818746458513952,2.6729568270314653e-05
ENSMUSG00000021831,Ero1l,2.820662756623981,1.1574184152083036,3.79565209568975e-05,1.4966931893488236,-0.16478871685837715,0.9066712500122441,1.5989082571197797,-0.07868358066445535,0.9890055380501653,0.769856603394848,-1.391580617948641,4.237639031324541e-06
ENSMUSG00000032487,Ptgs2,1.5232737268831764,1.2226137080472257,8.742482862287153e-05,0.5282446550642906,-0.7508482677585407,0.21381319780405103,0.8411130285592886,-0.07935330371287178,0.9972028183643622,0.4470135116486214,-1.221444433743617,0.00048773822144506583
ENSMUSG00000029379,Cxcl3,7.981259299030483,1.038637465689337,0.00011022102072144608,4.102700154332657,-0.29781425764933944,0.6529374672395349,4.614219114219116,-0.14159884929949218,0.8882606577812395,2.8757869249394643,-1.0046084653578993,0.0004484169285253614
ENSMUSG00000037172,E330009J07Rik,1.8418290690070345,1.1167873547981788,0.00014917164378483637,1.1093137756350104,0.01334890998436844,0.9249043503187021,1.0037811142712265,-0.2004176685134688,0.8415853505769372,0.576150748347112,-1.1864935613241268,0.0002526425197464044
ENSMUSG00000052397,Ezr,2.9944202159642668,1.0217371459323163,0.00035944184889020244,1.408652413504775,-0.4348554532296747,0.4626001912731372,1.7853814285456597,-0.08807383290392179,0.9744029002831388,1.0926996951410746,-0.9917659413940219,0.0016894885887388973
ENSMUSG00000016496,Cd274,2.038754189592692,1.0903849914683283,0.0008809756839870196,1.2677871721542977,0.04447572284532725,0.8706624060120752,1.0553587999847678,-0.33331141820568766,0.6804293859190416,0.7400557026182732,-0.9499687091403806,0.013837782252354979
ENSMUSG00000020227,Irak3,2.131424834574178,0.9713327957712419,0.0023056228912460724,1.3558279479983462,0.0022083523791681103,0.9304324663264724,1.30531219998116,-0.07466650351774146,0.9918852974035571,0.7301220690260816,-1.134844633780653,0.0004484169285253614
ENSMUSG00000040152,Thbs1,36.373228155233264,0.8708811329697976,0.002320318327720865,20.108513202780664,-0.2981090510089972,0.5755036340870958,22.840979742527473,-0.11400942621380672,0.9189495615358807,15.943481915467496,-0.7835012994176469,0.01005873014427032
ENSMUSG00000024661,Fth1,80.98255988319609,0.8433435945556207,0.0029468284524844174,43.509751422128744,-0.36122342333749735,0.4659750499362791,52.517986599242,-0.06844982969221114,0.984989018936415,35.92001906936478,-0.7836051269315636,0.008641673272496306
ENSMUSG00000036390,Gadd45a,1.9808350364792635,0.9189667902452928,0.003776942255984921,1.3206116376607266,0.04188274572134176,0.8822319853682464,1.1981893142684206,-0.15083336642029083,0.8945772533035767,0.7748234201909437,-0.9434778466860507,0.005230346969555025
ENSMUSG00000030103,Bhlhe40,5.658701259181989,0.8402369195333395,0.004728641044896462,4.278781706020754,0.17682564174813753,0.5771989523376895,3.662015685661431,-0.07605604857184067,0.977641356400544,2.190366207078245,-1.0244321303143438,0.00030314281211470714
ENSMUSG00000035513,Ntng2,1.6680716096667483,0.9446210788692817,0.005885783777600354,1.1093137756350104,0.05807071350188123,0.8591428436457704,1.0037811142712265,-0.1382611924508994,0.9210330041675329,0.6208520995119742,-1.0097569079100435,0.0055774273968331265
ENSMUSG00000020826,Nos2,3.7647449523728693,0.8447672281012448,0.0062280045211040224,2.3594927926204985,-0.1120162783998837,0.9982639106613068,2.42415122853644,-0.08284825075960933,0.9779438076924472,1.5943481915467497,-0.8624118473430382,0.0081506149752555
