Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value
ENSMUSG00000051951,Xkr4,0.008230573050449273,-0.8786692748945626,0.6403866887715681,0.0046549180477999845,-0.25845659999969506,1,0.10328937018197074,4.129241958498541,0.1942822148497699
ENSMUSG00000025900,Rp1,0.008230573050449273,-1.4636317756157187,0.46666683927069375,0.018619672191199938,1.2009750186376031,0.7053318384636985,0.05164468509098537,3.1657678345236553,0.38497020155333234
ENSMUSG00000025902,Sox17,0.11317037944367751,-0.009065912150237665,0.9989423451026358,0.11637295119499962,0.09405981472109115,1,0.05164468509098537,-0.22125528858559163,0.9600620467951431
ENSMUSG00000025903,Lypla1,0.3600875709571557,-0.27976758321553286,0.697555150324013,0.45618196868439853,0.358656424325168,0.812209459225069,0.20657874036394147,-0.6224359871890368,0.9210431686051487
ENSMUSG00000033813,Tcea1,0.8364319862519074,-0.14126052451510737,0.8245421867733779,0.926328691512197,0.14612654164198313,0.9970168495098133,0.8779596465467513,0.05171409530592197,0.7677192473656124
ENSMUSG00000002459,Rgs20,0.015432324469592388,-2.906575271464447,0.0015651101832724794,0.12102786924279961,2.785937519358759,0.0028079717616462667,0.10328937018197074,2.0588526306071437,0.4712914956756248
ENSMUSG00000033793,Atp6v1h,0.34259760322495103,-0.12432160250012014,0.8609945379989375,0.3956680340629987,0.23492235056094057,0.9430310842856907,0.10328937018197074,-1.2596363803134476,1
ENSMUSG00000025905,Oprk1,0.006172929787836955,-1.5631674491666336,0.4526417637133043,0,-1.258456599999695,1,0.20657874036394147,5.380780725494506,0.06810015617691695
ENSMUSG00000033774,Npbwr1,0.0072017514191431145,-2.8559491983944794,0.043704710993911,0.05585901657359982,2.7314897353363827,0.05805620041916843,0.05164468509098537,2.5442794577773853,0.49936655481105086
ENSMUSG00000025907,Rb1cc1,0.29938709471009234,-0.5311950594283532,0.4448459920015194,0.45152705063659854,0.6062314971238612,0.4763939755584975,0.20657874036394147,-0.41549069743408173,0.8987271149665061
ENSMUSG00000033740,St18,0.006172929787836955,-1.826201855000427,0.31792508768096006,0.009309836095599969,0.4640094244713975,1,0.1549340552729561,4.696282551222435,0.10115088096817411
ENSMUSG00000051285,Pcmtd1,0.2613206943517644,-0.8224251642549434,0.20560236332786422,0.47014672282779846,0.8399773590716482,0.213105622263783,0.3615127956368976,0.39047412169835005,0.7259142424995958
ENSMUSG00000025909,Sntg1,0.010288216313061592,-0.1741251584207335,1,0.009309836095599969,0.3265059007214619,1,0,2.1657678345236553,1
ENSMUSG00000061024,Rrs1,0.23765779683172278,-0.19061328120930265,0.8051531865082907,0.2839500009157991,0.2848066094410735,0.9063953057594405,0.10328937018197074,-0.7435868010363436,0.9646049684154949
