Ensembl_ID,Gene_ID,Gene_Type,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,-log10(padj),-log10(p-value),DEGenes
ENSMUSG00000092212,Slc22a13b-ps,polymorphic_pseudogene,12.83469943306597,0.05473977615155089,0.5576198850622817,0.15926565267378112,0.8734595805068395,0.9170190486447657,0.03762164291734322,0.05875718726833247,NO
ENSMUSG00000092300,Cdk3-ps,polymorphic_pseudogene,8.293594462045276,0.411517808729058,0.7008885309962237,1.1250715808984282,0.2605587028536108,0.3864880112004071,0.412863973285791,0.5840944164976862,NO
ENSMUSG00000079293,Clec7a,polymorphic_pseudogene,1093.1333365173948,-0.47409216716489977,0.18015380481060767,-2.7642754611594014,0.0057049356039852615,0.0151788767926355,1.8187603641986556,2.243749253435372,NO
ENSMUSG00000006395,Hyi,polymorphic_pseudogene,641.741980458138,-0.6671340360981216,0.15554619872197437,-4.427771644804183,9.521162374046193e-06,4.479911418039459e-05,4.3487305732869,5.02131002831528,NO
ENSMUSG00000079491,H2-T10,polymorphic_pseudogene,7.097916902596307,0.39788285273175017,0.7503480547712503,1.11326002546285,0.2655967694380944,0.39232353405674575,0.40635563934835406,0.5757772117729273,NO
ENSMUSG00000041750,Cd1d2,polymorphic_pseudogene,4.297076348220397,0.44467342198591303,1.2012203999254736,1.5434096769280572,0.12273140724221751,0.2123442350438128,0.6729595252202604,0.911044286119078,NO
ENSMUSG00000081665,Gm15922,polymorphic_pseudogene,146.19567409298617,0.4264919574688758,0.22161452504608642,2.069887478302752,0.03846288280704283,0.08014749804975994,1.0961100303920936,1.4149581683484107,NO
ENSMUSG00000023341,Mx2,polymorphic_pseudogene,27.45963993468419,1.5682213388592559,0.5000659653911306,3.6265759679846683,0.0002872043502073711,0.0010200645634328288,2.9913723393604044,3.5418089862377173,UP
ENSMUSG00000043089,Mmp1a,polymorphic_pseudogene,12.077702233917286,3.781609072080226,1.0724345437558513,3.9678497397634103,7.252403487917392e-05,0.00028946448392984977,3.5384047147672977,4.139518041903968,UP
ENSMUSG00000092572,Serpinb10,polymorphic_pseudogene,2.685783604135436,0.31250462911753546,1.0076428773742283,1.1030545317574945,0.27000348452493683,0.3977532086555494,0.40038630823504834,0.5686306310255049,NO
